Age,Gender,Job,Income,Relation,Event,Gift
20,Male,خريج,0,Wife,Valantine,chocolate cake with dimond ring
20,Female,Student,0,Wife,Valantine,chocolate cake with dimond ring
20,Male,Student,0,Wife,Valantine,chocolate cake with dimond ring
15,Male,Student,0,Wife,Valantine,
20,Male,Student,0,Wife,Valantine,Luna Sapphire And Diamond Eternity Ring In 14k White Gold
20,Male,police officer,5000,Wife,Valantine,chocolate cake with dimond ring
20,Male,Engineer,10000,Wife,Valantine,Oval Sapphire And Diamond Cluster Pendant In 14k White Gold
25,Male,Engineer,15000,Wife,Valantine,V Chocolate Artisan Tower
20,Male,gym trainer,5000,Wife,Valantine,chocolate cake with dimond ring
20,Female,Designer,0,Wife,Valantine,chocolate cake with dimond ring
35,Male,Teacher,10000,Wife,Valantine,chocolate cake with dimond ring
35,Male,Teacher,10000,Wife,Valantine,Oval Sapphire And Diamond Cluster Pendant In 14k White Gold
25,Female,Teacher,5000,Wife,Valantine,chocolate cake with dimond ring
20,Female,Student,0,Wife,Valantine,Luna Sapphire And Diamond Eternity Ring In 14k White Gold
30,Female,house wife,0,Wife,Valantine,chocolate cake with dimond ring
20,Female,Teacher,5000,Wife,Valantine,chocolate cake with dimond ring
30,Female,secretary,10000,Wife,Valantine,V Chocolate Artisan Tower
15,Female,Student,0,Wife,Valantine,V Chocolate Artisan Tower
20,Female,Student,20000,Wife,Valantine,Oval Sapphire And Diamond Cluster Pendant In 14k White Gold
15,Male,Student,0,Wife,Valantine,chocolate cake with dimond ring
20,Male,Doctor,0,Wife,Valantine,chocolate cake with dimond ring
15,Male,Student,0,Wife,Valantine,Luna Sapphire And Diamond Eternity Ring In 14k White Gold
15,Female,Student,0,Wife,Valantine,chocolate cake with dimond ring
25,Male,employee,5000,Wife,Valantine,Oval Sapphire And Diamond Cluster Pendant In 14k White Gold
25,Male,mechanic,5000,Wife,Valantine,Luna Sapphire And Diamond Eternity Ring In 14k White Gold
25,Male,Teacher,5000,Wife,Valantine,Luna Sapphire And Diamond Eternity Ring In 14k White Gold
20,Male,sales,5000,Wife,Valantine,Luna Sapphire And Diamond Eternity Ring In 14k White Gold
25,Male,security gaurd at night club,10000,Wife,Valantine,Luna Sapphire And Diamond Eternity Ring In 14k White Gold
15,Male,Student,5000,Wife,Valantine,chocolate cake with dimond ring
20,Male,Engineer,20000,Wife,Valantine,V Chocolate Artisan Tower
15,Female,Student,0,Wife,Valantine,Luna Sapphire And Diamond Eternity Ring In 14k White Gold
20,Female,Teacher,0,Wife,Valantine,V Chocolate Artisan Tower
20,Male,Engineer,5000,Wife,Valantine,chocolate cake with dimond ring
20,Female,Student,0,Wife,Valantine,Oval Sapphire And Diamond Cluster Pendant In 14k White Gold
20,Male,driver,5000,Wife,Valantine,Oval Sapphire And Diamond Cluster Pendant In 14k White Gold
20,Male,Student,0,Wife,Valantine,Oval Sapphire And Diamond Cluster Pendant In 14k White Gold
25,Male,waiter,5000,Wife,Valantine,chocolate cake with dimond ring
25,Male,Engineer,10000,Wife,Valantine,Luna Sapphire And Diamond Eternity Ring In 14k White Gold
20,Male,Student,0,Wife,Valantine,V Chocolate Artisan Tower
20,Male,skate trainer,5000,Wife,Valantine,Oval Sapphire And Diamond Cluster Pendant In 14k White Gold
25,Female,housewife,0,Wife,Valantine,chocolate cake with dimond ring
30,Female,housewife,0,Wife,Valantine,Oval Sapphire And Diamond Cluster Pendant In 14k White Gold
54,Female,nurse,5000,Wife,Valantine,Luna Sapphire And Diamond Eternity Ring In 14k White Gold
58,Male,worker,5000,Wife,Valantine,Luna Sapphire And Diamond Eternity Ring In 14k White Gold
45,Male,Engineer,32767,Wife,Valantine,Oval Sapphire And Diamond Cluster Pendant In 14k White Gold
40,Female,housewife,5000,Wife,Valantine,Luna Sapphire And Diamond Eternity Ring In 14k White Gold
45,Male,driver,5000,Wife,Valantine,Luna Sapphire And Diamond Eternity Ring In 14k White Gold
40,Female,housewife,0,Wife,Valantine,Luna Sapphire And Diamond Eternity Ring In 14k White Gold
15,Female,Student,0,Wife,Valantine,Oval Sapphire And Diamond Cluster Pendant In 14k White Gold
83,Male,retired,5000,Wife,Valantine,Luna Sapphire And Diamond Eternity Ring In 14k White Gold
75,Female,housewife,0,Wife,Valantine,Luna Sapphire And Diamond Eternity Ring In 14k White Gold
51,Male,Engineer,0,Wife,Valantine,roses
45,Female,housewife,0,Wife,Valantine,Luna Sapphire And Diamond Eternity Ring In 14k White Gold
30,Female,housewife,5000,Wife,Valantine,perfumes
25,Female,Teacher,5000,Wife,Valantine,Luna Sapphire And Diamond Eternity Ring In 14k White Gold
25,Male,Doctor,10000,Wife,Valantine,Oval Sapphire And Diamond Cluster Pendant In 14k White Gold
25,Male,Engineer,10000,Wife,Valantine,pride
15,Male,Student,5000,Wife,Valantine,Luna Sapphire And Diamond Eternity Ring In 14k White Gold
40,Male,businessman,250,Wife,Valantine,chocolate cake with dimond ring
20,Female,Engineer,20000,Wife,Valantine,Iphone14 pro max
